        kata       rags	days-old
will rm 8F07F60FA0 25	425
will rm 3980AF34B0 25	117
will rm 307C5B45D0 25	383
will rm 78AA452A27 25	95
will rm 99FC0720AB 25	362
will rm 7AF36F1CFA 25	249
will rm 4A413DE069 25	345
will rm EBFCC01B08 25	59
will rm 5C1B59FA98 25	379
will rm 5CB3ECAF24 25	184
will rm FA53E3DB1D 25	161
will rm 62620A0E6E 25	19
will rm 80A38907EC 25	59
will rm C813C80A1A 25	250
will rm 1FA9A392C0 25	405
will rm 1F57377F55 25	431
will rm C4FE13D0AA 25	60
will rm 7C7873B0C5 25	180
will rm 59F477BBCD 25	78
will rm 164376F734 25	404
will rm 2094A8EEC7 25	244
will rm F6F4EE51EA 25	214
will rm F603C436FE 25	104
will rm 96EA6B1509 25	407
will rm BABDEDD4AA 25	166
will rm 77AD8E9C83 25	182
will rm 83C2BE0121 25	455
will rm 48A64095CD 25	112
will rm B1AF68D93A 25	161
will rm 9394E7EA73 25	41
will rm A183B444EB 25	60
will rm D9FA8DCCE6 25	55
will rm 8784E2ADFE 25	197
will rm 873E0E2898 25	305
will rm A051B5C823 25	63
will rm 7BEE6CFE0F 25	209
will rm 1B00F70294 25	213
will rm 182F1516C3 25	267
will rm 150F5D9D9D 25	249
will rm C325A3CB85 25	90
will rm 0AEE0AE661 25	59
will rm B92945CA8E 25	146
will rm BDC797D475 25	231
will rm DADBF9DAA3 25	238
will rm DA1B29FB52 25	31
will rm 14532E60BB 25	165
will rm 14B440324B 25	78
will rm D478AA9936 25	284
will rm 43D94E3B37 25	110
will rm 8DC0861E6B 25	59
will rm 8CCD32E7C5 25	326
will rm A8C79D8115 25	371
will rm 52B0AE6A54 25	356
will rm 6363A54D83 25	223
will rm 219D41589B 25	233
will rm A646246CEE 25	189
will rm A2BD6FCB56 25	121
will rm 2CF7C91AEA 25	202
will rm FF96318EF3 25	122
will rm 7ECC2AF900 25	133
will rm 7E2AEE8E64 25	161
will rm 657B14C74F 25	115
will rm 8BAA5695C1 25	168
will rm A3D86BCD75 25	198
will rm 7215102B82 26	92
will rm 829D14C272 26	218
will rm 494DDA57DA 26	81
will rm C631B25750 26	356
will rm 05E9A2985A 26	326
will rm 6F8C92D533 26	231
will rm 786C154234 26	96
will rm 78079A09FF 26	197
will rm 3701DC2DC2 26	411
will rm 378E629BDE 26	243
will rm BBBE04022F 26	427
will rm 6C15582270 26	233
will rm 3D872E4CC3 26	371
will rm 741326F72B 26	196
will rm 74ADE13416 26	306
will rm C0BEE377E2 26	210
will rm 5C3EDB92B2 26	455
will rm 1F34008207 26	316
will rm 265489F13A 26	229
will rm BE3B8559C2 26	59
will rm E10332B19F 26	19
will rm FDE792C27B 26	322
will rm B3A30302E2 26	410
will rm D3B83096EA 26	69
